

 nb subcarrier : 1, subcarrier index0

Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.141388 , average_magnitude : 66.687172 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 63.236996 , average_magnitude : 66.549164 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 64.007210 , average_magnitude : 66.451401 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 70.157516 , average_magnitude : 66.588661 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 68.013046 , average_magnitude : 66.639534 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 61.425774 , average_magnitude : 66.459747 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 68.417313 , average_magnitude : 66.525002 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 67.277321 , average_magnitude : 66.549271 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 68.823990 , average_magnitude : 66.620354 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 71.081955 , average_magnitude : 66.755554 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 69.099533 , average_magnitude : 66.824501 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 69.461304 , average_magnitude : 66.899834 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 57.471413 , average_magnitude : 66.637932 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 69.061447 , average_magnitude : 66.703438 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 64.963806 , average_magnitude : 66.657654 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 64.051674 , average_magnitude : 66.590836 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 64.198502 , average_magnitude : 66.531021 
Decode NSSS - fr

 nb subcarrier : 6, subcarrier index0



 nb subcarrier : 7, subcarrier index0



 nb subcarrier : 8, subcarrier index0



 nb subcarrier : 9, subcarrier index0



 nb subcarrier : 10, subcarrier index0



 nb subcarrier : 11, subcarrier index0



 nb subcarrier : 1, subcarrier index1

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 86.017319 , average_magnitude : 86.017319 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 86.499336 , average_magnitude : 86.258331 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 79.977577 , average_magnitude : 84.164742 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 88.221565 , average_magnitude : 85.178947 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 83.532349 , average_magnitude : 84.849625 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 79.346153 , average_magnitude : 83.932381 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.151009 , average_magnitude : 82.392189 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 78.858070 , average_magnitude : 81.950424 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 84.094963 , average_magnitude : 82.188705 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 82.967163 , average_magnitude : 82.266556 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.024689 , average_magnitude : 81.062744 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 80.878731 , average_magnitude : 81.047409 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 78.531639 , average_magnitude : 80.853889 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 77.091980 , average_magnitude : 80.585190 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 76.244553 , average_magnitude : 80.295807 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 85.010971 , average_magnitude : 80.590508 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 77.134521 , average_magnitude : 80.387215 
